feed_id,label,prefcode,prefname,official,feed_page_url,feed_LastUpdate,license_name,fixed_url,feed_url,zip_name,feed_note,feed_version_note
f1001601,太田市　シティライナーおおた・市営無料バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210330,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1027.otashi_com.zip,gtfs.1027.otashi_com.zip,,2021/4/1改正
f1001701,沼田市路線バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200311,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1021.numatashi_com.zip,gtfs.1021.numatashi_com.zip,,2020/4/1改正
f1001801,館林市内路線バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210401,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1024.tatebayashishi_com.zip,gtfs.1024.tatebayashishi_com.zip,,2021/4/1改正
f1001901,渋川市内バス（市内路線・伊香保タウンバス）,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210324,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1018.shibukawashi_com.zip,gtfs.1018.shibukawashi_com.zip,,2021/3/24～
f1002001,藤岡市　めぐるん,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200226,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1028.fujiokashi_com.zip,gtfs.1028.fujiokashi_com.zip,,
f1002101,みどり市　東町路線バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200924,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1031.midorishi_com.zip,gtfs.1031.midorishi_com.zip,,2020/9/1～
f1002201,上野村乗合タクシー,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200924,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1034.uenomura_com.zip,gtfs.1034.uenomura_com.zip,,2020/9/1～
f1002301,中之条町　六合地区路線バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200924,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1038.nakanojomachi_com.zip,gtfs.1038.nakanojomachi_com.zip,,2020/9/1～
f1002401,高山村　たかやまバス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20191008,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1040.gunma_takayamamura_com.zip,gtfs.1040.gunma_takayamamura_com.zip,,
f1002501,東吾妻町乗合バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210113,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1041.higashiagatsumamachi_com.zip,gtfs.1041.higashiagatsumamachi_com.zip,,2021/1/8改正(修正)
