feed_id,label,prefcode,prefname,official,feed_page_url,feed_LastUpdate,fixed_url,license_name,feed_url,feed_note,feed_version_note
f3900103,宿毛市　市営定期船「すくも」,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20200916,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Sukumo-Ferry.zip,,2020/8/5改正
f3900201,土佐清水市　デマンド交通おでかけ号,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20201214,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Tosashimizu-Odekake.zip,,2020/10/1改正
f3900301,四万十市営バス,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20201214,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Shimanto-City.zip,,2020/10/1改正
f3900401,黒潮町　シャトルバス,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20200225,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/Kuroshio-Shuttlebus-GTFSJP_200207.zip,2020/3/31運行終了,
f3900501,三原村　三原バス,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20200916,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Mihara-Miharabus.zip,,2020/9/1改正
f3900602,四万十交通,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20210215,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Shimanto-Traffic_Localbus.zip,,
f3900603,四万十交通　川奥～佐賀線,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20210215,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Shimanto-Traffic_Feeder.zip,,2020/10/1改正
f3900701,高知県　県営渡船,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20210305,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Pref-Ferry.zip,,2021/4/1～
f3901601,高知西南交通　一般路線,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20210215,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Seinan-Localbus.zip,,2020/11/1改正
f3901602,高知西南交通　しまんとトロリーバス,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20210215,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Seinan-Trolleybus.zip,,2020/11/1改正
f3901603,高知西南交通　しまんと・あしずり号（半日コース、1日コース）,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20210215,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Seinan-Shimaashi.zip,,
f3901604,高知西南交通　四万十川バス,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20210215,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Seinan-Riverbus.zip,,
f3901605,高知西南交通　高速バス（しまんとブルーライナー、しまんとエクスプレス）,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20210215,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Seinan-Expressbus.zip,,
f3901701,須崎市営バス,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20201214,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Susaki-Bus.zip,,2020/11/1改正
f3901702,須崎市営巡航船,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20201214,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Susaki-Ferry.zip,,2020/11/1改正
f4000101,福岡市営渡船,40,福岡県,1,https://www.city.fukuoka.lg.jp/kowan/kyakusen/shisei/shieitosen_opendata.html,20200302,1,CC BY 2.1,https://www.city.fukuoka.lg.jp/data/open/cnt/3/59675/1/fukuokasiei_tosen_GTFSfeeds.zip,,
f4000201,北九州市営渡船,40,福岡県,1,https://ckan.open-governmentdata.org/dataset/401005_shieitosengtfs,20200313,1,CC BY 2.1,https://ckan.open-governmentdata.org/dataset/3c8153b3-aad0-440a-b202-1adbf79fd685/resource/78f90326-88fa-4155-af5e-b95fc64b9ec3/download/401005_shieitosengtfs.zip,,
f4000301,コガバス（古賀市公共施設等連絡バス）,40,福岡県,1,https://data.bodik.jp/dataset/kogabus,20200626,1,CC BY 4.0,http://data.bodik.jp/dataset/851b417c-62f8-4634-bb1e-62ed7b48647d/resource/a9bf0e0e-4ae8-45c0-9cee-b9dffdeacda7/download/gtfs-jp.zip,,2020/4/1～
f4000401,糸島市営渡船ひめしま,40,福岡県,1,https://data.bodik.jp/dataset/402303_tosen,20191202,1,CC BY 4.0,http://data.bodik.jp/dataset/2a380e2b-f584-425b-9385-24926b328296/resource/53252038-b26e-49c1-9de1-1fec6811e01a/download/402303tosengtfs.zip,,2019/11/30改正
f4000501,ふれあいバス（粕屋町福祉巡回バス）,40,福岡県,1,https://ckan.open-governmentdata.org/dataset/403491__fureaibus_gtfs2020,20200904,0,CC BY 2.1,https://ckan.open-governmentdata.org/dataset/5bc70a98-9ba0-422b-a0c8-27fbbf97607f/resource/c3307fac-5a3d-4768-802e-95828f8600c1/download/403491_fureaibus_gtfs_20200901.zip,年度ごと掲載ページ,2020/9/1～
f4000601,嘉麻市バス,40,福岡県,1,https://data.bodik.jp/dataset/402273_kamacitybus,20200626,0,CC BY 4.0,http://data.bodik.jp/dataset/851b417c-62f8-4634-bb1e-62ed7b48647d/resource/a9bf0e0e-4ae8-45c0-9cee-b9dffdeacda7/download/gtfs-jp.zip,,2020/4/1改正
f4000701,北九州市　おでかけ交通・八幡東区田代・河内地区,40,福岡県,1,https://data.bodik.jp/dataset/401005_odekakekotsugtfs_tashirokawachi,20200310,1,CC BY 2.1,https://ckan.open-governmentdata.org/dataset/42e62bc8-cfe8-4f66-9e89-decffff56f23/resource/41dfa7d1-cb07-47b4-b509-5fcbe5c79765/download/401005_odekakekotsugtfs_tashirokawachi.zip,,
f4000702,北九州市　おでかけ交通・八幡東区枝光地区,40,福岡県,1,https://data.bodik.jp/dataset/401005_odekakekotsugtfs_edamitsu,20200123,1,CC BY 2.1,https://ckan.open-governmentdata.org/dataset/468dc771-10a2-4bab-aad2-191b0fdaffa0/resource/bdbf46fd-870b-4064-9e7f-7bcedf97b526/download/401005_odekakekotsugtfs_edamitsu.zip,,
f4000703,北九州市　おでかけ交通・門司区恒見・喜多久地区,40,福岡県,1,https://data.bodik.jp/dataset/401005_odekakekotsugtfs_tsunemikitaku,20191106,1,CC BY 2.1,https://ckan.open-governmentdata.org/dataset/6d387baa-dcfd-431d-a229-13b8670e07bf/resource/eaa79093-a1f8-4dbe-9bfd-ca7183419c72/download/401005_odekakekotsugtfs_tsunemikitaku.zip,,
f4000704,北九州市　おでかけ交通・小倉南区平尾台地区,40,福岡県,1,https://data.bodik.jp/dataset/401005_odekakekotsugtfs_hiraodai,20191106,1,CC BY 2.1,https://ckan.open-governmentdata.org/dataset/6d3d2393-ed7b-46eb-9340-dfb45ffc279d/resource/7ea49d9e-be72-4e86-849e-d160ae45bd3c/download/401005_odekakekotsugtfs_hiraodai.zip,,
f4000705,北九州市　おでかけ交通・八幡東区大蔵地区,40,福岡県,1,https://data.bodik.jp/dataset/401005_odekakekotsugtfs_okura,20200123,1,CC BY 2.1,https://ckan.open-governmentdata.org/dataset/950b03df-5142-4f34-b976-43dad98a9540/resource/91059af4-fc56-45e1-8ecd-fd4bcb5e2df1/download/401005_odekakekotsugtfs_okura.zip,,
